date,P_mm,ET_mm,R_mm,S_mm,dS,residual,RC
1950-02-01,67.73926,60.502247,8.652407,931.4805,,,0.12773106
1950-03-01,121.226616,99.49885,15.82146,939.29407,7.8135376,-1.9072294,0.13051143
1950-04-01,86.566086,119.332504,9.690101,925.69183,-13.602234,-28.854286,0.11193877
1950-05-01,236.1087,111.76847,32.505066,949.8186,24.12677,67.7084,0.13766992
1950-06-01,495.97308,106.699196,232.12183,1111.8359,162.01733,-4.865265,0.46801296
1950-07-01,403.12442,108.864235,237.84673,1207.6874,95.85144,-39.437973,0.59000826
1950-08-01,367.5162,102.44844,264.11914,1237.6389,29.951538,-29.00293,0.7186599
1950-09-01,194.86995,112.41435,132.17735,1201.7,-35.938965,-13.782791,0.67828494
1950-10-01,255.4225,97.06268,137.47539,1203.1198,1.4197998,19.46463,0.5382274
1950-11-01,128.53712,75.18528,113.0686,1188.3098,-14.809937,-44.906822,0.87965715
1950-12-01,229.56355,57.744007,142.96336,1180.3607,-7.9490967,36.805283,0.6227616
1951-01-01,22.188646,73.85564,52.742096,1134.0374,-46.323364,-58.085724,2.3769858
1951-02-01,2.0989554,70.01628,24.88219,1035.4165,-98.62085,5.821335,11.854559
1951-03-01,97.46285,86.12985,19.444677,971.151,-64.2655,56.153824,0.1995086
1951-04-01,206.5695,116.142334,72.89708,975.57904,4.4280396,13.102051,0.3528937
1951-05-01,348.13144,115.62071,138.74379,1050.0671,74.4881,19.27884,0.39853853
1951-06-01,592.0563,97.28466,360.0366,1202.5984,152.53125,-17.796234,0.6081121
1951-07-01,470.89194,104.09418,408.96335,1241.1682,38.569824,-80.73541,0.86848664
1951-08-01,238.81183,119.42386,132.56726,1183.652,-57.516235,44.336945,0.55511177
1951-09-01,234.74707,116.485954,152.71155,1198.8271,15.175171,-49.625603,0.65053654
1951-10-01,226.09546,96.51567,134.5123,1184.3547,-14.472412,9.539902,0.5949359
1951-11-01,46.33166,80.7877,48.30304,1120.2937,-64.061035,-18.698044,1.0425493
1951-12-01,40.110027,67.182625,38.26965,1059.037,-61.256714,-4.085533,0.95411676
1952-01-01,9.229046,59.279743,17.338987,996.8613,-62.17566,-5.2140274,1.878741
1952-02-01,8.191262,56.131653,9.5217,936.8649,-59.9964,2.5343094,1.1624216
1952-03-01,124.652916,88.89596,13.776452,912.9485,-23.916443,45.89695,0.11051849
1952-04-01,309.0162,109.66255,65.90432,959.4602,46.51172,86.93762,0.21327141
1952-05-01,289.94003,107.81759,79.25138,1125.1259,165.66565,-62.794594,0.27333716
1952-06-01,341.25153,115.46409,177.16452,1191.6952,66.569336,-17.946411,0.5191611
1952-07-01,421.7927,108.095215,323.98965,1240.1124,48.417236,-58.70941,0.76812536
1952-08-01,284.02063,112.13696,168.95673,1207.28,-32.832397,35.75934,0.59487486
1952-09-01,365.78412,94.59277,260.19382,1245.165,37.88501,-26.887482,0.71133167
1952-10-01,230.43507,91.80403,220.72884,1222.6896,-22.475464,-59.62233,0.95787865
1952-11-01,140.69029,80.46145,136.4622,1152.0056,-70.68396,-5.5494003,0.9699476
1952-12-01,13.157502,57.526905,37.68471,1048.4349,-103.57068,21.516563,2.8641236
1953-01-01,29.962975,56.22721,18.396461,995.8849,-52.55005,7.889351,0.61397314
1953-02-01,29.316542,58.321033,10.047829,951.7327,-44.15216,5.0998383,0.3427358
1953-03-01,226.22368,96.41868,47.809753,995.7341,44.001343,37.993896,0.21133842
1953-04-01,270.25027,111.70213,101.224434,1044.5323,48.79828,8.525429,0.37455812
1953-05-01,508.20764,97.82907,289.16467,1167.8658,123.333496,-2.1195984,0.5689892
1953-06-01,449.04318,104.87383,316.5707,1218.0836,50.217773,-22.61914,0.70498943
1953-07-01,463.89337,98.94517,382.2672,1248.6863,30.602661,-47.92166,0.8240411
1953-08-01,269.3196,124.05665,160.84735,1213.0288,-35.65747,20.07309,0.5972359
1953-09-01,341.65674,98.00528,240.54579,1227.5867,14.557861,-11.452194,0.7040569
1953-10-01,84.99838,108.12524,95.55695,1163.5643,-64.02234,-54.66147,1.1242208
1953-11-01,25.750492,77.85899,36.285263,1061.2382,-102.32617,13.932404,1.4091095
1953-12-01,0.9506792,50.590034,18.493301,985.9619,-75.276245,7.143585,19.452726
1954-01-01,20.72401,47.617558,10.634636,940.1119,-45.850037,8.321854,0.5131553
1954-02-01,46.396374,60.094307,8.080321,909.7491,-30.362793,8.5845375,0.17415847
1954-03-01,41.041195,76.47257,7.932969,870.86383,-38.885254,-4.4790916,0.19329284
1954-04-01,71.88454,85.39858,13.137349,863.0345,-7.8293457,-18.822048,0.18275626
1954-05-01,384.45758,109.31603,94.5597,933.21765,70.18317,110.39868,0.24595614
1954-06-01,661.6534,88.02595,377.5869,1157.8568,224.63916,-28.598633,0.5706718
1954-07-01,340.58246,113.044205,262.77914,1215.9811,58.124268,-93.36516,0.77155805
1954-08-01,335.72247,111.32754,207.38618,1213.9564,-2.0246582,19.033401,0.61773103
1954-09-01,224.23813,115.139885,138.6137,1217.9955,4.0390625,-33.554512,0.618154
1954-10-01,160.87828,102.17285,118.109985,1184.1604,-33.835083,-25.569473,0.73415744
1954-11-01,0.30337635,79.535324,43.557858,1078.5331,-105.62732,-17.16249,143.57697
1954-12-01,8.416149,48.78054,21.002121,992.2182,-86.31488,24.948368,2.495455
1955-01-01,2.6707647,47.169353,11.4777155,942.5286,-49.689575,-6.286728,4.297539
1955-02-01,2.2921262,44.81311,6.1711674,897.8476,-44.68103,-4.0111237,2.6923332
1955-03-01,65.23688,58.893124,11.847547,858.029,-39.818604,34.31481,0.18160813
1955-04-01,115.507095,87.36186,25.873762,856.5243,-1.5046997,3.7761707,0.2240015
1955-05-01,184.97246,125.51562,45.1188,909.8653,53.341003,-39.002964,0.24392173
1955-06-01,423.26184,103.75012,130.13112,1022.19904,112.33374,77.04686,0.30744827
1955-07-01,441.4601,101.794365,222.45177,1161.2599,139.06085,-21.846878,0.50390005
1955-08-01,344.05557,101.32026,245.34769,1233.2303,71.97046,-74.582825,0.71310484
1955-09-01,257.80103,112.439896,163.24167,1216.549,-16.681396,-1.1991425,0.633208
1955-10-01,155.78886,109.58387,102.149994,1177.8291,-38.71985,-17.225151,0.6556951
1955-11-01,110.18457,82.77924,87.067856,1145.7971,-32.031982,-27.630547,0.79020005
1955-12-01,0.7532802,63.07226,33.601593,1051.4191,-94.37805,-1.5425262,44.60703
1956-01-01,10.185618,51.169155,17.016808,978.5828,-72.83624,14.835899,1.67067
1956-02-01,8.776879,59.28161,9.151364,932.2152,-46.367615,-13.288479,1.0426673
1956-03-01,23.791092,69.38002,6.303371,882.1352,-50.080017,-1.8122826,0.2649467
1956-04-01,81.37303,78.36603,7.969499,849.0822,-33.05298,28.090483,0.097937845
1956-05-01,310.86252,110.055725,58.902092,910.3939,61.311707,80.59299,0.18947956
1956-06-01,686.69037,93.781586,416.05417,1148.4658,238.0719,-61.217255,0.60588324
1956-07-01,331.95593,114.86863,182.07732,1197.3806,48.914795,-13.9048,0.54849845
1956-08-01,431.58664,106.46981,321.97992,1233.4988,36.118164,-32.981262,0.7460377
1956-09-01,339.21933,107.10066,261.99283,1220.7756,-12.723145,-17.151016,0.7723405
1956-10-01,174.33447,107.05635,120.453865,1175.9895,-44.786133,-8.38961,0.69093543
1956-11-01,35.85144,83.51063,50.531036,1114.3898,-61.59973,-36.590492,1.4094563
1956-12-01,0.8282271,57.75224,24.433903,1019.3824,-95.007385,13.649475,29.501453
1957-01-01,50.42196,61.278965,14.812742,982.74414,-36.638245,10.968496,0.29377562
1957-02-01,10.717185,62.38281,7.895623,936.2947,-46.449463,-13.111782,0.73672545
1957-03-01,9.425051,69.47891,5.3150654,881.628,-54.666687,-10.70224,0.5639296
1957-04-01,20.221972,61.362312,4.020867,831.3941,-50.233887,5.0726776,0.19883654
1957-05-01,189.15176,93.515144,57.09426,841.0593,9.665222,28.877136,0.30184367
1957-06-01,386.31564,114.43663,90.28006,943.49097,102.43164,79.16733,0.23369506
1957-07-01,429.77036,107.97228,205.02661,1125.2988,181.80786,-65.03641,0.47706085
1957-08-01,363.7921,112.488785,201.0937,1206.7542,81.45532,-31.245697,0.5527709
1957-09-01,213.10605,114.885056,135.88747,1205.2507,-1.503418,-36.163055,0.63765186
1957-10-01,87.32716,110.37061,78.911644,1156.9534,-48.297363,-53.65773,0.9036323
1957-11-01,1.006966,73.87678,30.934444,1038.748,-118.20532,14.401062,30.720446
1957-12-01,1.8986516,42.860775,15.973899,968.3066,-70.44147,13.505444,8.413286
1958-01-01,9.685371,39.28738,9.322973,924.84906,-43.45752,4.5325394,0.96258295
1958-02-01,69.99078,49.541546,9.1373205,904.88525,-19.963806,31.275723,0.13055034
1958-03-01,42.290684,87.9667,6.109826,884.5725,-20.312744,-31.473095,0.14447215
1958-04-01,210.68507,104.14783,45.197453,884.7082,0.13568115,61.204113,0.21452613
1958-05-01,312.65256,134.19957,155.3552,993.96,109.25183,-86.15404,0.49689403
1958-06-01,378.798,106.66729,151.01718,1021.37067,27.410645,93.70288,0.3986747
1958-07-01,382.77753,108.90839,174.34369,1136.7224,115.351746,-15.826294,0.45547003
1958-08-01,426.1447,100.27569,333.73364,1225.4446,88.72217,-96.58679,0.78314626
1958-09-01,371.46527,104.67316,240.418,1232.2026,6.7580566,19.616058,0.6472153
1958-10-01,215.5702,105.7755,172.06442,1208.7662,-23.436401,-38.833313,0.7981828
1958-11-01,9.217284,82.41203,59.993717,1100.115,-108.651245,-24.537216,6.508828
1958-12-01,4.050772,50.22377,25.208231,1008.8581,-91.2569,19.875671,6.223068
1959-01-01,41.99538,46.931667,13.908555,961.9195,-46.9386,28.093758,0.3311925
1959-02-01,22.349567,63.488293,8.530838,936.8887,-25.030823,-24.63874,0.38170037
1959-03-01,109.84329,78.216354,17.576042,908.1783,-28.710388,42.761284,0.16001016
1959-04-01,99.33994,113.6898,15.569555,919.632,11.453735,-41.373146,0.15673006
1959-05-01,367.20798,97.72441,128.93658,944.97046,25.33844,115.20856,0.35112685
1959-06-01,539.8744,108.15679,304.58112,1149.8372,204.8667,-77.730225,0.56417036
1959-07-01,445.4857,108.01451,299.99057,1223.5044,73.66724,-36.186615,0.6734011
1959-08-01,463.13327,101.94761,393.49963,1237.1617,13.657349,-45.971313,0.8496466
1959-09-01,497.51193,89.42699,355.30618,1239.812,2.6502686,50.12851,0.71416616
1959-10-01,476.34564,84.05122,425.8799,1235.473,-4.3389893,-29.24649,0.8940565
1959-11-01,1.3173839,84.16861,84.858185,1126.9628,-108.510254,-59.199158,64.41417
1959-12-01,3.4679582,52.739124,29.605843,1018.9042,-108.05859,29.18158,8.536966
1960-01-01,0.4368334,42.699688,14.667959,958.0923,-60.81189,3.881073,33.577923
1960-02-01,9.03069,44.412018,7.8336043,910.2095,-47.882812,4.667881,0.8674425
1960-03-01,50.27517,89.86317,6.363384,888.49506,-21.714417,-24.236965,0.1265711
1960-04-01,24.78693,67.546265,4.530691,836.91785,-51.57721,4.2871857,0.1827855
1960-05-01,301.00247,84.75535,60.283062,858.6407,21.72284,134.24123,0.2002743
1960-06-01,366.3025,119.16628,147.35289,1048.6874,190.04669,-90.26338,0.40227106
1960-07-01,676.0574,97.09105,455.24527,1197.3027,148.61536,-24.894318,0.6733826
1960-08-01,435.13104,103.85346,276.09412,1231.1946,33.891846,21.291626,0.63450795
1960-09-01,451.67914,87.60281,368.58047,1251.6504,20.45581,-24.95996,0.8160228
1960-10-01,178.46388,113.915794,211.62234,1187.6503,-64.00012,-83.07413,1.1857992
1960-11-01,4.8596234,76.43177,42.50909,1061.4564,-126.19385,12.11261,8.747404
1960-12-01,1.5644883,43.471375,19.274513,981.5227,-79.933716,18.752316,12.320011
1961-01-01,13.64749,44.836575,10.854027,939.62683,-41.895874,-0.14723969,0.79531306
1961-02-01,48.534023,62.747196,7.984563,925.6637,-13.963135,-8.2346,0.16451475
1961-03-01,116.40069,84.982216,33.454426,905.5933,-20.070374,18.03442,0.28740746
1961-04-01,113.05751,95.09035,29.735214,892.1428,-13.4505005,1.6824493,0.26300964
1961-05-01,300.93805,125.09623,91.13823,950.14636,58.00354,26.700058,0.30284715
1961-06-01,520.5111,106.93749,248.1136,1113.4095,163.26318,2.1968231,0.476673
1961-07-01,360.15625,115.89145,228.7199,1192.8794,79.46985,-63.924942,0.6350574
1961-08-01,346.2591,109.77528,193.8773,1213.4744,20.59497,22.011536,0.5599198
1961-09-01,262.00546,109.73089,154.18695,1220.3402,6.8658447,-8.778229,0.58848757
1961-10-01,158.31543,105.54853,125.804596,1202.5413,-17.79895,-55.238747,0.7946452
1961-11-01,25.501953,84.510635,49.8799,1107.99,-94.55127,-14.337311,1.9559247
1961-12-01,1.2234626,52.669758,24.534956,1016.1506,-91.83942,15.858162,20.053703
1962-01-01,16.499207,44.18097,13.647913,960.1989,-55.95166,14.621986,0.82718605
1962-02-01,23.806606,58.331726,7.7085285,927.1769,-33.022034,-9.2116165,0.32379788
1962-03-01,6.3962836,69.07833,5.0680766,878.59814,-48.578735,-19.171387,0.7923471
1962-04-01,163.78023,89.06895,19.846424,865.76227,-12.835876,67.70073,0.12117717
1962-05-01,310.79846,125.311104,103.150925,954.0938,88.33154,-5.995102,0.33189008
1962-06-01,566.5806,98.91262,278.68326,1107.5349,153.4411,35.54364,0.49186867
1962-07-01,319.46613,121.59941,177.47844,1186.743,79.20813,-58.819855,0.555547
1962-08-01,360.0261,106.16413,252.54985,1226.1753,39.43225,-38.120132,0.7014765
1962-09-01,228.23041,121.78445,132.6285,1199.1837,-26.991577,0.8090439,0.5811167
1962-10-01,146.20293,110.26304,98.58731,1156.483,-42.700684,-19.94674,0.6743183
1962-11-01,0.66424567,81.560844,36.824974,1077.8486,-78.6344,-39.087173,55.438786
1962-12-01,0.37174857,48.670017,19.725878,993.62335,-84.22528,16.201134,53.062416
1963-01-01,0.6596693,41.192326,11.098541,941.1596,-52.463745,0.83254623,16.824402
1963-02-01,1.2494593,43.22403,6.0048084,896.7309,-44.42871,-3.5506668,4.805926
1963-03-01,23.645992,66.72079,4.550257,858.9345,-37.796387,-9.828667,0.1924325
1963-04-01,235.52148,103.69601,43.436504,879.9819,21.047363,67.3416,0.18442693
1963-05-01,382.2409,118.094086,110.15104,1024.4308,144.44891,9.546875,0.28817177
1963-06-01,614.3011,100.25279,397.12076,1171.3239,146.89307,-29.965546,0.64645946
1963-07-01,524.6615,99.276985,381.73618,1236.5288,65.204956,-21.55661,0.7275857
1963-08-01,288.9729,111.80266,216.157,1234.6356,-1.8931885,-37.093567,0.7480182
1963-09-01,258.22128,118.14114,135.76677,1203.4961,-31.139526,35.452896,0.52577686
1963-10-01,286.23514,103.02175,216.44414,1205.8026,2.3065186,-35.537277,0.756176
1963-11-01,16.602884,82.837494,69.242065,1123.86,-81.94263,-53.534058,4.170484
1963-12-01,1.1676232,53.404877,27.866251,1019.9101,-103.94989,23.846382,23.865791
1964-01-01,2.9462757,45.257023,14.370297,959.20715,-60.70294,4.0219,4.8774447
1964-02-01,16.204308,49.872395,7.990176,913.7489,-45.458252,3.7999878,0.49308965
1964-03-01,24.55133,73.63601,5.4516354,873.00507,-40.743835,-13.79248,0.2220505
1964-04-01,233.2064,89.28932,62.35249,887.0879,14.082825,67.481766,0.2673704
1964-05-01,265.50098,131.68147,86.645226,995.27515,108.187256,-61.012978,0.32634616
1964-06-01,360.6515,114.46677,139.7753,1031.6216,36.346436,70.06299,0.38756335
1964-07-01,668.2201,94.245255,419.0732,1193.6823,162.06067,-7.159027,0.62714845
1964-08-01,303.99496,113.020195,233.0037,1226.4524,32.77014,-74.79907,0.7664722
1964-09-01,338.99423,100.11381,241.27238,1238.9763,12.523926,-14.915878,0.71173006
1964-10-01,290.46393,94.50293,232.95844,1224.0808,-14.895508,-22.101929,0.8020219
1964-11-01,37.49213,83.783005,66.26175,1121.1267,-102.9541,-9.598526,1.7673509
1964-12-01,0.6604348,61.535088,28.472483,1032.4634,-88.66333,-0.6838074,43.111725
1965-01-01,0.18087858,47.500347,14.87751,964.3051,-68.158264,5.9612846,82.251366
1965-02-01,34.81881,61.136414,8.515289,930.078,-34.22711,-0.60578156,0.24456003
1965-03-01,60.638412,74.847115,7.377308,886.81604,-43.261963,21.675953,0.121660635
1965-04-01,77.49576,107.74039,8.304066,887.6239,0.8078613,-39.356556,0.1071551
1965-05-01,213.5131,113.47334,43.936863,904.03107,16.407166,39.695736,0.20578064
1965-06-01,644.93585,99.07889,289.5173,1023.6305,119.59943,136.7402,0.4489087
1965-07-01,569.1178,106.54268,389.61798,1209.1326,185.50208,-112.54492,0.6845999
1965-08-01,564.2346,92.97758,490.57785,1257.1549,48.02234,-67.34314,0.8694572
1965-09-01,311.88226,101.70191,209.9751,1229.9556,-27.19934,27.404602,0.67325115
1965-10-01,172.53183,106.14873,142.6154,1183.8019,-46.153687,-30.078613,0.8266034
1965-11-01,13.0991335,82.90303,50.172215,1107.1007,-76.70117,-43.274933,3.8301933
1965-12-01,40.024807,59.37711,32.016747,1027.6826,-79.41809,28.049042,0.7999226
1966-01-01,28.739265,62.02366,14.865155,991.3253,-36.3573,-11.792248,0.517242
1966-02-01,3.6126702,53.84841,8.10998,931.3661,-59.95923,1.6135101,2.2448714
1966-03-01,18.319546,68.726944,5.4613857,881.57404,-49.792053,-6.076729,0.29811797
1966-04-01,48.14472,75.09957,5.3061705,842.94,-38.634033,6.3730087,0.11021293
1966-05-01,175.30095,112.41377,26.490307,858.5136,15.573608,20.823261,0.15111332
1966-06-01,591.3337,95.45595,234.98302,1004.3198,145.80621,115.0885,0.39737803
1966-07-01,383.95966,108.45969,234.33704,1179.1716,174.8518,-133.68887,0.6103168
1966-08-01,470.3678,97.182106,306.66125,1226.9651,47.793457,18.730988,0.65196055
1966-09-01,284.01288,109.733635,213.26724,1231.4188,4.4537354,-43.441742,0.75090694
1966-10-01,131.62419,106.962105,134.05994,1177.1906,-54.22827,-55.16958,1.0185053
1966-11-01,34.157127,77.11634,39.167694,1061.6254,-115.565186,33.43828,1.1466917
1966-12-01,41.26297,63.432816,25.729101,1018.8296,-42.795776,-5.1031723,0.62353975
1967-01-01,37.70926,60.86552,13.179945,985.9602,-32.869385,-3.4668198,0.3495148
1967-02-01,4.5429034,56.0822,7.4127355,932.2419,-53.718323,-5.2337074,1.6317176
1967-03-01,138.99442,89.735825,14.349387,923.1598,-9.082092,43.991295,0.10323715
1967-04-01,205.04526,111.842064,45.13278,941.2046,18.0448,30.025616,0.2201113
1967-05-01,335.6319,130.82222,132.92236,1054.6677,113.463135,-41.57582,0.39603615
1967-06-01,421.48703,109.14068,218.09668,1144.0394,89.371704,4.87796,0.51744574
1967-07-01,455.99103,109.50164,309.19702,1218.8362,74.79675,-37.504395,0.678077
1967-08-01,368.0412,113.48782,242.6759,1227.7842,8.947998,2.9294739,0.65937155
1967-09-01,350.55017,99.37428,237.90948,1233.6613,5.877075,7.389328,0.6786746
1967-10-01,120.99399,112.16537,154.266,1184.8484,-48.812866,-96.62451,1.274989
1967-11-01,2.690051,71.51491,39.107506,1044.0631,-140.78528,32.852913,14.53783
1967-12-01,2.6178727,41.397976,17.97282,972.63043,-71.43268,14.679756,6.8654294
1968-01-01,18.36557,42.82176,10.324048,935.3888,-37.24164,2.461403,0.5621414
1968-02-01,20.43546,52.024162,6.1645393,902.3914,-32.997375,-4.755867,0.30165896
1968-03-01,87.93165,85.43946,11.412542,880.975,-21.416443,12.496088,0.12978879
1968-04-01,197.96637,111.52991,47.86274,915.625,34.650024,3.9236984,0.24177207
1968-05-01,439.72195,117.69546,196.41005,966.9413,51.316284,74.300156,0.44666874
1968-06-01,714.4706,90.41099,456.5756,1160.6614,193.7201,-26.236115,0.6390404
1968-07-01,464.78522,110.12626,358.53735,1232.3113,71.6499,-75.52829,0.7714044
1968-08-01,337.63,112.32073,219.60085,1235.2682,2.9569092,2.7515106,0.65041864
1968-09-01,243.58441,108.83215,159.3245,1210.9602,-24.307983,-0.2642517,0.6540833
1968-10-01,154.77994,105.2643,123.62149,1173.6938,-37.266357,-36.839493,0.7986919
1968-11-01,18.32342,79.64968,43.065968,1089.6602,-84.03369,-20.358536,2.3503237
1968-12-01,1.3283688,53.129364,21.690086,1004.45624,-85.20392,11.712837,16.328362
1969-01-01,11.256405,46.013508,12.170838,951.917,-52.539246,5.611305,1.0812367
1969-02-01,2.0480068,45.424286,6.695197,909.62354,-42.293457,-7.778019,3.2691283
1969-03-01,89.99831,76.89867,11.548039,886.6048,-23.018738,24.57034,0.12831396
1969-04-01,198.6384,110.79488,35.744286,907.5969,20.992126,31.107101,0.17994651
1969-05-01,133.45006,133.42242,16.620325,936.11115,28.514221,-45.10691,0.124543406
1969-06-01,483.53223,104.690384,187.5834,1053.3428,117.23163,74.026825,0.38794395
1969-07-01,334.81204,114.339226,179.53468,1182.5424,129.19958,-88.26146,0.53622526
1969-08-01,487.932,102.95127,344.0471,1226.498,43.95569,-3.0220337,0.70511276
1969-09-01,286.3655,115.38236,192.38261,1210.5867,-15.911377,-5.488083,0.6718079
1969-10-01,65.11406,108.61004,86.850365,1151.5874,-58.999268,-71.34708,1.3338189
1969-11-01,18.861277,73.60051,31.586365,1038.4886,-113.098755,26.773155,1.6746674
1969-12-01,0.14638971,43.401264,16.040958,970.9835,-67.50513,8.209293,109.577095
1970-01-01,16.412909,41.795082,9.44338,929.4519,-41.531616,6.7060623,0.575363
1970-02-01,24.378597,47.004997,5.8555136,897.6722,-31.779724,3.2978096,0.24019074
1970-03-01,47.911766,75.093376,7.421547,869.952,-27.720154,-6.883003,0.1549003
1970-04-01,108.10083,92.98474,17.781528,865.5082,-4.4438477,1.778408,0.16449021
1970-05-01,224.12083,108.07445,37.85317,893.2663,27.758118,50.435104,0.16889624
1970-06-01,479.69116,103.879684,174.7523,1073.0923,179.82599,21.23317,0.36430168
1970-07-01,518.02295,104.15637,330.18652,1207.6821,134.58984,-50.90979,0.63739747
1970-08-01,329.1526,112.109375,224.85815,1231.1069,23.424805,-31.239746,0.6831426
1970-09-01,337.90115,102.65454,244.96019,1234.458,3.3510742,-13.0646515,0.7249463
1970-10-01,283.42847,101.66572,228.0841,1206.5573,-27.900757,-18.420593,0.8047325
1970-11-01,63.93685,84.67341,82.20337,1140.0391,-66.51819,-36.421738,1.2856963
1970-12-01,0.32540965,58.67719,32.47312,1039.9442,-100.09485,9.269943,99.79151
1971-01-01,20.688566,46.010597,16.597734,976.0403,-63.90393,21.984165,0.80226606
1971-02-01,11.707705,57.097633,8.851065,937.1131,-38.927185,-15.313812,0.75600344
1971-03-01,25.427238,63.749763,7.216369,884.7178,-52.395325,6.85643,0.28380468
1971-04-01,373.49893,96.12615,76.36375,999.17816,114.46039,86.548645,0.20445506
1971-05-01,307.7387,124.65433,117.87701,1123.5708,124.39264,-59.185265,0.3830425
1971-06-01,450.2126,101.90623,245.53905,1198.9493,75.37854,27.388779,0.5453847
1971-07-01,541.923,102.21591,427.53693,1248.4113,49.461914,-37.29178,0.78892565
1971-08-01,522.894,87.2867,436.7212,1251.9838,3.5725098,-4.6864014,0.83520025
1971-09-01,314.47208,104.684135,234.68079,1228.1069,-23.876831,-1.0160217,0.74626905
1971-10-01,156.41562,102.03438,137.80232,1206.6616,-21.445312,-61.97577,0.88100106
1971-11-01,69.4156,81.71669,71.20788,1139.4006,-67.26099,-16.247978,1.0258194
1971-12-01,0.596075,59.5668,30.053646,1037.5813,-101.819336,12.794968,50.419235
1972-01-01,3.9055169,45.169533,15.776276,971.40796,-66.17334,9.133049,4.0394845
1972-02-01,41.506237,66.412415,9.494738,946.32544,-25.08252,-9.3183975,0.22875448
1972-03-01,30.168459,65.3185,7.302291,888.5182,-57.80725,15.354919,0.24205051
1972-04-01,142.33342,103.267136,30.999971,899.0964,10.578186,-2.5118732,0.21779826
1972-05-01,229.60933,96.44434,75.13757,909.0209,9.9244995,48.102905,0.32724094
1972-06-01,440.22043,113.93573,209.87698,1012.7203,103.6994,12.708313,0.4767543
1972-07-01,374.51224,116.14881,177.97032,1119.2482,106.52789,-26.13478,0.47520563
1972-08-01,419.66995,103.69637,262.67596,1212.0398,92.791626,-39.49402,0.6259108
1972-09-01,219.9784,112.84769,157.19016,1207.201,-4.838745,-45.220703,0.7145709
1972-10-01,72.334274,110.74561,68.516106,1138.8728,-68.32825,-38.599197,0.94721496
1972-11-01,7.872354,71.28291,27.822235,1027.2716,-111.6012,20.3684,3.5341697
1972-12-01,0.63549465,44.91616,14.724024,962.50415,-64.767456,5.762764,23.169392
1973-01-01,7.956229,40.7988,8.669648,919.79565,-42.708496,1.1962776,1.0896679
1973-02-01,42.912685,43.42096,8.065568,885.357,-34.43866,25.864819,0.187953
1973-03-01,27.557938,86.9972,4.5382514,876.63635,-8.720642,-55.25687,0.16468038
1973-04-01,184.07549,76.25413,46.049698,852.3227,-24.31366,86.08532,0.25016746
1973-05-01,510.55548,106.197,211.57814,1012.1452,159.82251,32.95784,0.41440773
1973-06-01,610.6689,95.75232,398.8108,1179.6655,167.52032,-51.41455,0.65307206
1973-07-01,417.11166,113.07926,270.60916,1211.3081,31.642578,1.7806702,0.6487691
1973-08-01,324.6998,108.59481,267.66577,1237.2341,25.926025,-77.48682,0.82434845
1973-09-01,312.07742,99.07889,194.45502,1226.3965,-10.8376465,29.381165,0.6230986
1973-10-01,164.472,106.66969,141.70348,1200.5358,-25.860718,-58.04045,0.86156595
1973-11-01,135.23914,81.17047,100.62957,1146.0345,-54.50122,7.9403152,0.74408615
1973-12-01,52.33066,65.6429,45.24228,1089.7938,-56.240723,-2.3137932,0.8645463
1974-01-01,9.961831,60.73509,21.213705,1021.1623,-68.63153,-3.3554306,2.1294985
1974-02-01,1.3780624,56.59626,11.19431,957.04456,-64.11774,-2.2947693,8.123224
1974-03-01,157.45557,75.360794,25.180895,920.3404,-36.704163,93.61804,0.15992382
1974-04-01,167.45874,119.48727,34.351116,1009.40515,89.06476,-75.4444,0.20513181
1974-05-01,431.76154,118.70337,190.78557,1059.6616,50.25647,72.01613,0.4418772
1974-06-01,394.96317,114.35357,226.81287,1166.5375,106.875854,-53.079132,0.57426333
1974-07-01,693.1452,87.96827,556.1138,1242.5736,76.03613,-26.972961,0.80230486
1974-08-01,372.19455,108.44337,255.3311,1225.8741,-16.699463,25.119553,0.6860151
1974-09-01,358.75827,104.3768,261.2998,1232.5575,6.6833496,-13.601685,0.72834504
1974-10-01,148.203,104.6686,138.52475,1193.1487,-39.408813,-55.581535,0.93469596
1974-11-01,52.319214,85.2483,54.91596,1097.3586,-95.79004,7.944992,1.0496327
1974-12-01,0.48432028,59.40233,25.667799,1031.2106,-66.14807,-18.437737,52.99757
1975-01-01,3.5409644,46.63502,14.37986,967.4684,-63.742188,6.2682724,4.061001
1975-02-01,18.051445,53.529297,7.934939,926.18787,-41.280518,-2.1322746,0.43957362
1975-03-01,15.107914,66.99829,5.3064365,880.9004,-45.287476,-11.90934,0.35123557
1975-04-01,126.411835,82.59131,19.2257,865.2798,-15.620605,40.21543,0.15208782
1975-05-01,327.391,111.126396,103.953606,932.4688,67.189026,45.121956,0.31752127
1975-06-01,252.42097,117.67706,79.6628,1031.8142,99.3454,-44.26429,0.31559503
1975-07-01,612.3412,95.35183,361.74393,1152.588,120.7738,34.47165,0.5907555
1975-08-01,266.2343,117.42626,155.72684,1201.6145,49.02649,-55.945282,0.584924
1975-09-01,310.43448,99.64536,207.1497,1231.2535,29.639038,-25.999619,0.6672896
1975-10-01,184.5065,98.437164,161.79933,1207.9493,-23.3042,-52.425797,0.87693024
1975-11-01,85.985886,80.48726,76.66136,1131.116,-76.833374,5.670639,0.8915575
1975-12-01,0.2925325,58.186768,31.35534,1039.5143,-91.601685,2.3521118,107.18583
